uid,years,minutes,sqrm,distance,renovate,express,price
13104-1105,15,10,35,2.983801459,0,0,28000000
13104-1108,14,10,20,2.983801459,0,0,24000000
13104-1109,39,10,55,2.983801459,1,0,48000000
13104-1110,4,7,40,2.983801459,0,0,43000000
13104-1111,23,7,55,2.983801459,0,0,43000000
13104-1112,39,10,50,2.983801459,0,0,34000000
13104-1114,13,9,15,2.983801459,0,0,21000000
13104-1115,36,7,55,2.983801459,0,0,40000000
13104-1116,40,10,50,2.983801459,1,0,39000000
13104-1117,17,6,20,2.983801459,1,0,21000000
13104-1118,36,7,25,2.983801459,0,0,17000000
13104-1119,39,10,55,2.983801459,0,0,35000000
13104-1120,36,7,80,2.983801459,1,0,78000000
13104-1121,40,10,50,2.983801459,0,0,30000000
13104-1122,16,6,35,2.983801459,0,0,34000000
13104-1123,7,7,40,2.983801459,0,0,48000000
13104-1124,36,7,25,2.983801459,1,0,20000000
13104-1125,15,11,60,2.983801459,0,0,52000000
13104-1135,5,6,65,6.051806582,0,1,110000000
13104-1136,22,15,15,6.051806582,0,1,20000000
13104-1429,6,9,65,4.152266259,0,0,62000000
13104-1430,6,9,65,4.152266259,1,0,70000000
13104-1467,40,4,100,4.946347595,1,0,80000000
13104-1468,40,4,30,4.946347595,1,0,25000000
13104-1469,5,7,65,4.946347595,0,0,78000000
13104-1672,12,6,70,2.983801459,0,0,82000000
13104-2201,18,6,75,6.580371345,0,0,82000000
13104-2202,18,6,70,6.580371345,0,0,67000000
13104-2203,41,6,15,6.051806582,0,1,15000000
13104-2204,14,6,20,6.051806582,0,1,25000000
13104-2205,42,12,15,6.051806582,0,1,12000000
13104-2208,2,12,30,6.051806582,0,1,43000000
13104-2209,2,12,30,6.051806582,0,1,47000000
13104-2210,2,12,30,6.051806582,0,1,46000000
13104-2211,41,6,15,6.051806582,0,1,17000000
13104-2212,2,12,30,6.051806582,0,1,47000000
13104-2213,41,6,20,6.051806582,0,1,14000000
13104-2214,2,12,30,6.051806582,0,1,43000000
13104-2215,42,12,15,6.051806582,1,1,14000000
13104-2216,2,12,30,6.051806582,0,1,41000000
13104-2217,2,12,30,6.051806582,0,1,45000000
13104-2218,2,13,30,6.051806582,0,1,43000000
13104-2219,2,12,30,6.051806582,0,1,43000000
13104-2220,2,12,30,6.051806582,0,1,45000000
13104-2221,2,12,30,6.051806582,0,1,41000000
13104-2225,36,7,15,6.051806582,1,1,13000000
13104-2226,41,4,15,6.051806582,0,1,17000000
13104-2227,37,9,20,6.051806582,1,1,18000000
13104-2229,38,11,45,6.051806582,1,1,41000000
13104-2230,42,12,15,6.051806582,0,1,10000000
13104-2232,7,8,40,6.051806582,0,1,46000000
13104-2751,5,8,70,2.960147551,0,0,92000000
13104-2752,18,11,20,2.960147551,0,0,22000000
13104-2753,22,7,50,2.960147551,0,0,45000000
13104-2814,14,9,20,2.983801459,0,0,24000000
13104-2816,17,10,75,2.983801459,0,0,68000000
13104-2817,18,7,15,2.983801459,0,0,21000000
13104-2819,14,9,30,2.983801459,0,0,29000000
13104-2820,19,9,50,2.983801459,1,0,52000000
13104-2821,19,9,75,2.983801459,0,0,74000000
13104-2822,20,10,70,2.983801459,0,0,53000000
13104-2823,17,10,55,2.983801459,0,0,54000000
13104-2845,5,3,25,6.580371345,0,0,30000000
13104-2846,32,2,30,6.580371345,0,0,24000000
13104-2847,14,3,20,6.580371345,0,0,24000000
13104-2850,24,3,95,6.580371345,0,0,60000000
13104-2851,19,5,50,6.580371345,0,0,40000000
13104-2852,48,4,55,6.580371345,0,0,29000000
13104-2856,19,4,50,6.580371345,0,0,35000000
13104-2863,48,4,60,6.580371345,1,0,40000000
13104-2865,6,5,65,6.580371345,0,0,57000000
13104-2866,24,3,95,6.580371345,0,0,55000000
13104-2867,14,3,20,6.580371345,0,0,18000000
13104-2869,6,5,50,6.580371345,0,0,41000000
13104-2873,15,5,55,6.580371345,0,0,49000000
13104-2874,10,3,20,6.580371345,0,0,25000000
13104-2875,31,8,75,6.580371345,0,0,55000000
13104-2876,11,3,20,6.580371345,0,0,21000000
13104-2877,31,8,65,6.580371345,1,0,31000000
13104-2878,16,4,20,6.580371345,0,0,24000000
13104-2879,31,8,80,6.580371345,1,0,68000000
13104-2880,10,3,20,6.580371345,0,0,26000000
13104-2881,31,8,75,6.580371345,0,0,55000000
13104-2882,16,6,25,6.580371345,0,0,22000000
13104-2883,31,8,70,6.580371345,0,0,49000000
13104-2884,31,6,75,6.580371345,1,0,63000000
13104-2885,35,4,30,6.580371345,1,0,29000000
13104-2887,31,6,75,6.580371345,0,0,53000000
13104-2888,31,8,75,6.580371345,0,0,54000000
13104-2889,31,7,70,6.580371345,0,0,62000000
13104-2891,31,6,75,6.580371345,0,0,67000000
