,uid,years,minutes,sqrm,distance,renovate,express,price,predict
886,13114-831,14,4,20,9.492733962,0,1,23000000,24896145.465213828
887,13114-832,15,8,60,9.492733962,1,1,43000000,53416020.16424546
888,13114-833,16,4,20,9.492733962,0,1,23000000,23785003.03027188
889,13114-834,32,5,20,9.492733962,0,1,13000000,13880125.266996682
890,13114-837,25,11,30,9.492733962,0,1,22000000,19132972.68343326
891,13114-838,11,4,30,9.492733962,0,1,29000000,34021137.71420447
892,13114-839,16,4,20,9.492733962,0,1,17000000,23785003.03027188
893,13114-840,18,3,65,9.492733962,0,1,60000000,57251852.563669376
894,13114-852,14,9,55,7.768447716,0,0,64000000,45921429.13453758
895,13114-853,14,9,70,7.768447716,1,0,62000000,60414131.694554485
896,13114-868,37,4,20,9.492733962,1,1,14000000,15423292.128531795
897,13114-871,7,2,70,9.492733962,1,1,85000000,71413298.20302889
898,13114-872,6,4,65,9.492733962,0,1,78000000,62902968.889581375
899,13114-873,6,4,55,9.492733962,0,1,65000000,55444690.29300365
900,13114-881,4,13,25,9.492733962,0,1,22000000,25039352.384555478
901,13114-882,37,4,40,9.492733962,1,1,29000000,30339849.32168725
902,13114-883,32,9,20,9.492733962,0,1,14000000,9817172.132038046
903,13114-884,18,4,40,9.492733962,0,1,32000000,37590417.78848539
904,13114-885,51,3,30,9.492733962,1,1,18000000,16119311.964255583
905,13114-886,7,2,45,9.492733962,0,1,65000000,49462317.04643427
906,13114-888,53,8,25,9.492733962,0,1,14000000,2895054.147176169
907,13114-889,53,5,50,9.492733962,1,1,36000000,27893250.15498978
908,13114-892,6,4,55,9.492733962,0,1,67000000,55444690.29300365
909,13114-893,47,6,55,9.492733962,1,1,39000000,33940078.47436482
910,13114-894,34,9,15,9.492733962,1,1,11000000,8282175.063957553
911,13114-895,35,5,15,9.492733962,0,1,14000000,8484272.316294905
912,13114-896,17,14,75,9.492733962,0,1,54000000,54092581.25658183
913,13114-897,51,3,30,9.492733962,0,1,12000000,12814027.299105272
914,13114-898,15,3,40,9.492733962,0,1,37000000,40272869.72463797
915,13114-899,53,5,90,9.492733962,0,1,50000000,54421079.876150385
916,13114-902,32,9,20,9.492733962,0,1,12000000,9817172.132038046
917,13114-903,53,5,50,9.492733962,0,1,36000000,24587965.489839464
918,13114-904,27,6,15,9.492733962,0,1,10000000,11913103.77232302
919,13114-905,6,4,60,9.492733962,0,1,60000000,59173829.591292515
920,13114-906,32,4,25,9.492733962,0,1,20000000,18625002.849025205
921,13114-916,41,10,60,9.492733962,1,1,54000000,36939691.94252088
922,13114-917,14,6,65,9.492733962,0,1,73000000,56426922.58233429
923,13114-918,37,3,25,9.492733962,0,1,18000000,16862885.045410004
924,13114-919,41,10,40,9.492733962,0,1,27000000,18717850.084215105
925,13114-920,21,5,55,9.492733962,0,1,44000000,46095383.747199416
926,13114-921,47,10,65,9.492733962,0,1,40000000,34030119.2708336
927,13114-922,47,10,65,9.492733962,0,1,40000000,34030119.2708336
928,13114-923,22,11,65,9.492733962,1,1,55000000,50208946.08901853
929,13114-924,53,5,50,9.492733962,1,1,43000000,27893250.15498978
930,13114-925,34,9,15,9.492733962,0,1,7500000,4976890.3988072425
931,13114-932,22,11,70,9.492733962,0,1,55000000,50632800.72215709
932,13114-933,7,2,55,9.492733962,0,1,79000000,56920595.643011995
933,13114-934,47,4,90,9.492733962,1,1,65000000,62075530.12986619
934,13114-935,53,5,50,9.492733962,0,1,27000000,24587965.489839464
935,13114-936,18,8,45,9.492733962,1,1,44000000,40561888.616965935
936,13114-938,41,10,40,9.492733962,0,1,29000000,18717850.084215105
937,13114-939,47,4,65,9.492733962,0,1,45000000,40124548.97327155
938,13114-945,7,2,60,9.492733962,1,1,72000000,63955019.606451176
939,13114-947,4,13,30,9.492733962,0,1,32000000,28768491.682844345
940,13114-948,7,2,35,9.492733962,1,1,51000000,45309323.11500685
941,13114-949,17,6,55,9.492733962,0,1,49000000,47301930.33334364
942,13114-950,53,5,50,9.492733962,0,1,27000000,24587965.489839464
943,13114-951,16,9,80,9.492733962,0,1,49000000,63455983.19103996
944,13114-952,35,6,15,9.492733962,1,1,9300000,10773818.697705556
945,13114-953,18,7,60,9.492733962,1,1,54000000,52765044.79557219
946,13114-954,32,4,55,9.492733962,0,1,36000000,40999838.63875839
947,13114-958,34,11,15,9.492733962,0,1,9500000,2945413.8313279226
948,13114-959,20,5,65,9.492733962,0,1,53000000,54109233.561248116
949,13114-960,21,5,25,9.492733962,0,1,17000000,23720547.95746623
950,13114-961,32,9,20,9.492733962,0,1,11000000,9817172.132038046
951,13114-962,26,7,60,9.492733962,0,1,50000000,45015190.39065411
952,13114-963,51,3,30,9.492733962,0,1,7000000,12814027.299105272
953,13114-964,51,3,40,9.492733962,1,1,23000000,23577590.56083331
954,13114-965,25,4,70,9.492733962,0,1,53000000,56076255.055921786
955,13114-976,47,4,45,9.492733962,0,1,35000000,25207991.780116092
956,13114-977,27,4,25,9.492733962,0,1,21000000,21402858.936380062
957,13114-978,34,8,10,9.492733962,0,1,9500000,2263489.384258032
958,13114-979,35,6,15,9.492733962,0,1,9900000,7468534.032555245
959,13114-980,7,2,55,9.492733962,0,1,69000000,56920595.643011995
960,13114-981,47,4,50,9.492733962,1,1,38000000,32242415.743555266
961,13114-982,53,8,25,9.492733962,0,1,16000000,2895054.147176169
962,13114-983,22,11,50,9.492733962,1,1,53000000,39021528.194151945
963,13114-984,14,10,30,9.492733962,0,1,24000000,26259994.359353606
964,13114-985,19,7,65,9.492733962,0,1,59000000,52633328.21123977
965,13114-989,7,10,55,9.492733962,0,1,49000000,48794689.37309472
966,13114-990,14,10,30,9.492733962,0,1,23000000,26259994.359353606
967,13114-991,53,8,25,9.492733962,1,1,16000000,6200338.81232648
968,13114-992,26,9,30,9.492733962,0,1,11000000,20608878.033441603
969,13114-994,37,4,65,9.492733962,0,1,30000000,45680261.147981256
970,13114-995,32,4,20,9.492733962,0,1,13000000,14895863.550736342
971,13114-996,51,3,40,9.492733962,0,1,16000000,20272305.895682998
972,13114-997,51,3,50,9.492733962,0,1,25000000,27730584.492260724
973,13114-1007,13,7,20,9.492733962,0,1,22000000,22404501.83146582
974,13114-1008,53,5,105,9.492733962,0,1,39000000,65608497.77101697
975,13114-1009,53,5,50,9.492733962,0,1,31000000,24587965.489839464
976,13114-1010,29,7,15,9.492733962,0,1,9500000,9786223.053641416
977,13114-1011,12,7,65,9.492733962,0,1,57000000,56522326.733536564
978,13114-1014,14,10,35,9.492733962,1,1,43000000,33294418.32279278
979,13114-1015,13,7,25,9.492733962,0,1,29000000,26133641.129754685
980,13114-1020,47,10,75,9.492733962,0,1,38000000,41488397.86741132
981,13114-1021,23,2,55,9.492733962,0,1,43000000,48031456.16347645
982,13114-1022,14,10,50,9.492733962,1,1,50000000,44481836.21765937
983,13114-1023,53,5,80,9.492733962,1,1,54000000,50268085.944722965
984,13114-1024,28,7,15,9.492733962,0,1,11000000,10341794.271112386
985,13114-1025,28,7,15,9.492733962,0,1,11000000,10341794.271112386
986,13114-1026,28,7,15,9.492733962,0,1,13000000,10341794.271112386
987,13114-1113,10,12,20,10.8508634,0,0,25000000,18992524.065180443
988,13114-1114,11,10,25,10.8508634,0,0,27000000,24197568.713477653
989,13114-1117,31,13,15,10.8508634,1,0,7200000,5885935.581411835
990,13114-1120,11,11,20,10.8508634,0,0,21000000,19452691.13144913
991,13114-1122,15,11,20,10.8508634,0,0,21000000,17230406.261565246
992,13114-1123,31,13,15,10.8508634,0,0,7000000,2580650.916261524
993,13114-1126,16,10,70,10.8508634,0,0,42000000,54981966.310722575
994,13114-1127,14,12,30,10.8508634,0,0,28000000,24228517.79187429
995,13114-1129,15,11,20,10.8508634,0,0,19000000,17230406.261565246
996,13114-1130,10,12,40,10.8508634,1,0,33000000,37214365.92348621
997,13114-1131,15,11,20,10.8508634,0,0,22000000,17230406.261565246
998,13114-1135,50,14,35,9.492733962,1,1,23000000,9230901.358879171
999,13114-1141,50,14,35,9.492733962,1,1,20000000,9230901.358879171
1000,13114-1302,14,7,25,9.492733962,0,1,26000000,25578069.91228371
1001,13114-1303,11,6,70,9.492733962,0,1,61000000,61822775.53303607
1002,13114-1304,49,5,45,9.492733962,1,1,35000000,26386395.7265848
1003,13114-1305,49,5,50,9.492733962,0,1,27000000,26810250.359723352
1004,13114-1306,14,7,50,9.492733962,0,1,45000000,44223766.40372803
1005,13114-1307,49,5,30,9.492733962,1,1,20000000,15198977.83171821
1006,13114-1308,15,5,20,9.492733962,0,1,22000000,23324835.964003198
1007,13114-1310,14,7,40,9.492733962,0,1,27000000,36765487.807150304
1008,13114-1312,49,5,45,9.492733962,1,1,29000000,26386395.7265848
1009,13114-1313,14,7,50,9.492733962,0,1,38000000,44223766.40372803
1010,13114-1314,11,6,60,9.492733962,0,1,59000000,54364496.93645834
1011,13114-1315,14,7,20,9.492733962,0,1,19000000,21848930.61399485
1012,13114-1316,14,7,25,9.492733962,0,1,20000000,25578069.91228371
1013,13114-1317,15,5,20,9.492733962,0,1,21000000,23324835.964003198
1014,13114-1322,19,2,40,7.768447716,0,0,30000000,39066323.13849375
1015,13114-1323,12,3,65,7.768447716,1,0,70000000,63890564.53364551
1016,13114-1324,32,7,45,7.768447716,1,0,30000000,33799629.856111996
1017,13114-1325,21,2,55,7.768447716,0,0,38000000,49142598.59841839
1018,13114-1326,16,3,20,7.768447716,0,0,23000000,24800741.31401154
1019,13114-1327,4,1,70,7.768447716,0,0,95000000,70790465.47403115
1020,13114-1328,7,3,50,7.768447716,0,0,52000000,52175718.060983464
1021,13114-1329,7,3,50,7.768447716,0,0,57000000,52175718.060983464
1022,13114-1332,54,4,25,7.768447716,0,0,7000000,6402436.064663835
1023,13114-1333,8,9,60,7.768447716,0,0,60000000,52983995.73765228
1024,13114-1334,23,7,50,7.768447716,0,0,39000000,39223625.44648929
1025,13114-1340,13,8,50,7.768447716,0,0,55000000,43763599.33745934
1026,13114-1341,8,9,70,7.768447716,0,0,63000000,60442274.334230006
1027,13114-1342,44,0,15,7.768447716,0,0,5500000,8562822.777754456
1028,13114-1343,44,0,10,7.768447716,0,0,8500000,4833683.479465589
